product_key,source_product_id,product_name,category,sub_category,unit_cost,supplier
21,FUR-ADV-10004395,"Advantus Door Stop, Durable",Furniture,Furnishings,21.014914285714287,WoodCraft Furnishings
22,FUR-ADV-10004499,"Advantus Photo Frame, Durable",Furniture,Furnishings,42.019999999999996,WoodCraft Furnishings
23,FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings,16.016399999999997,WoodCraft Furnishings
24,FUR-ADV-10004971,"Advantus Door Stop, Erganomic",Furniture,Furnishings,30.2825,WoodCraft Furnishings
25,FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",Furniture,Tables,198.5,WoodCraft Furnishings
26,FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",Furniture,Tables,460.8,WoodCraft Furnishings
27,FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",Furniture,Tables,257.5105,WoodCraft Furnishings
28,FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Furniture,Tables,217.45999999999998,WoodCraft Furnishings
29,FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",Furniture,Tables,227.683,WoodCraft Furnishings
30,FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",Furniture,Tables,418.757,WoodCraft Furnishings
31,FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Furniture,Tables,615.53,WoodCraft Furnishings
32,FUR-BAR-10003576,"Barricks Training Table, with Bottom Storage",Furniture,Tables,187.5,WoodCraft Furnishings
33,FUR-BAR-10004553,"Barricks Training Table, Rectangular",Furniture,Tables,287.2713333333333,WoodCraft Furnishings
34,FUR-BAR-10004561,"Barricks Wood Table, Fully Assembled",Furniture,Tables,450.62,WoodCraft Furnishings
35,FUR-BEV-10000326,"Bevis Wood Table, Rectangular",Furniture,Tables,440.7,WoodCraft Furnishings
36,FUR-BEV-10000388,"Bevis Coffee Table, Rectangular",Furniture,Tables,186.55,WoodCraft Furnishings
37,FUR-BEV-10001048,"Bevis Conference Table, with Bottom Storage",Furniture,Tables,674.61,WoodCraft Furnishings
38,FUR-BEV-10001853,"Bevis Computer Table, Adjustable Height",Furniture,Tables,319.77,WoodCraft Furnishings
39,FUR-BEV-10002369,"Bevis Training Table, Fully Assembled",Furniture,Tables,292.5475,WoodCraft Furnishings
40,FUR-BEV-10002803,"Bevis Conference Table, Fully Assembled",Furniture,Tables,619.69,WoodCraft Furnishings
41,FUR-BEV-10003414,"Bevis Computer Table, Fully Assembled",Furniture,Tables,257.74699999999996,WoodCraft Furnishings
42,FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Furniture,Tables,363.27,WoodCraft Furnishings
43,FUR-BO-10000002,"Bush Classic Bookcase, Mobile",Furniture,Bookcases,394.51,WoodCraft Furnishings
44,FUR-BO-10000008,"Sauder Library with Doors, Traditional",Furniture,Bookcases,360.432,WoodCraft Furnishings
45,FUR-BO-10000021,"Dania Corner Shelving, Metal",Furniture,Bookcases,70.47,WoodCraft Furnishings
46,FUR-BO-10000022,"Dania Floating Shelf Set, Traditional",Furniture,Bookcases,154.06666666666666,WoodCraft Furnishings
47,FUR-BO-10000034,"Safco Classic Bookcase, Pine",Furniture,Bookcases,422.07,WoodCraft Furnishings
48,FUR-BO-10000035,"Dania Classic Bookcase, Pine",Furniture,Bookcases,239.2777,WoodCraft Furnishings
49,FUR-BO-10000038,"Bush Library with Doors, Pine",Furniture,Bookcases,238.96685714285715,WoodCraft Furnishings
50,FUR-BO-10000071,"Safco 3-Shelf Cabinet, Metal",Furniture,Bookcases,89.17908333333334,WoodCraft Furnishings
51,FUR-BO-10000087,"Dania Classic Bookcase, Mobile",Furniture,Bookcases,147.27077037037037,WoodCraft Furnishings
52,FUR-BO-10000112,"Dania Corner Shelving, Pine",Furniture,Bookcases,91.56573333333334,WoodCraft Furnishings
53,FUR-BO-10000120,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,103.84,WoodCraft Furnishings
54,FUR-BO-10000148,"Bush 3-Shelf Cabinet, Metal",Furniture,Bookcases,95.12733333333334,WoodCraft Furnishings
55,FUR-BO-10000155,"Dania Corner Shelving, Metal",Furniture,Bookcases,64.44280952380952,WoodCraft Furnishings
56,FUR-BO-10000160,"Safco Library with Doors, Pine",Furniture,Bookcases,195.544,WoodCraft Furnishings
57,FUR-BO-10000175,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,87.79096,WoodCraft Furnishings
58,FUR-BO-10000184,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,101.28666666666668,WoodCraft Furnishings
59,FUR-BO-10000195,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,75.69872222222222,WoodCraft Furnishings
60,FUR-BO-10000203,"Sauder Library with Doors, Metal",Furniture,Bookcases,224.55857500000002,WoodCraft Furnishings
61,FUR-BO-10000208,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,88.98708333333333,WoodCraft Furnishings
62,FUR-BO-10000210,"Ikea Library with Doors, Pine",Furniture,Bookcases,255.24800000000002,WoodCraft Furnishings
63,FUR-BO-10000214,"Ikea Library with Doors, Pine",Furniture,Bookcases,228.64933333333332,WoodCraft Furnishings
64,FUR-BO-10000243,"Safco Floating Shelf Set, Pine",Furniture,Bookcases,146.529,WoodCraft Furnishings
65,FUR-BO-10000259,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,324.09000000000003,WoodCraft Furnishings
66,FUR-BO-10000265,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,119.05766666666666,WoodCraft Furnishings
67,FUR-BO-10000268,"Bush Library with Doors, Pine",Furniture,Bookcases,196.4885,WoodCraft Furnishings
68,FUR-BO-10000269,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,53.74133333333333,WoodCraft Furnishings
69,FUR-BO-10000279,"Dania Classic Bookcase, Pine",Furniture,Bookcases,284.471,WoodCraft Furnishings
70,FUR-BO-10000288,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,425.175,WoodCraft Furnishings
71,FUR-BO-10000311,"Safco Floating Shelf Set, Metal",Furniture,Bookcases,137.3433333333333,WoodCraft Furnishings
72,FUR-BO-10000321,"Dania Floating Shelf Set, Mobile",Furniture,Bookcases,108.32333333333332,WoodCraft Furnishings
73,FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,103.99413333333332,WoodCraft Furnishings
74,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,131.75051666666667,WoodCraft Furnishings
75,FUR-BO-10000378,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,82.8,WoodCraft Furnishings
76,FUR-BO-10000402,"Sauder Stackable Bookrack, Traditional",Furniture,Bookcases,124.38399999999999,WoodCraft Furnishings
77,FUR-BO-10000411,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,72.46281481481482,WoodCraft Furnishings
78,FUR-BO-10000425,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,125.19066666666667,WoodCraft Furnishings
79,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,40.881549206349206,WoodCraft Furnishings
80,FUR-BO-10000502,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,245.54133333333334,WoodCraft Furnishings
81,FUR-BO-10000514,"Bush Library with Doors, Traditional",Furniture,Bookcases,346.222,WoodCraft Furnishings
82,FUR-BO-10000517,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,77.256,WoodCraft Furnishings
83,FUR-BO-10000533,"Dania Corner Shelving, Pine",Furniture,Bookcases,109.94,WoodCraft Furnishings
84,FUR-BO-10000567,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,226.83266666666668,WoodCraft Furnishings
85,FUR-BO-10000596,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,241.23416666666668,WoodCraft Furnishings
86,FUR-BO-10000610,"Ikea Stackable Bookrack, Mobile",Furniture,Bookcases,63.796,WoodCraft Furnishings
87,FUR-BO-10000616,"Dania Corner Shelving, Pine",Furniture,Bookcases,88.83800000000001,WoodCraft Furnishings
88,FUR-BO-10000623,"Safco Library with Doors, Metal",Furniture,Bookcases,342.34000000000003,WoodCraft Furnishings
89,FUR-BO-10000624,"Safco Classic Bookcase, Metal",Furniture,Bookcases,244.94879999999998,WoodCraft Furnishings
90,FUR-BO-10000636,"Dania Floating Shelf Set, Metal",Furniture,Bookcases,66.4648,WoodCraft Furnishings
91,FUR-BO-10000666,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,124.72,WoodCraft Furnishings
92,FUR-BO-10000668,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,287.16479999999996,WoodCraft Furnishings
93,FUR-BO-10000670,"Dania Corner Shelving, Metal",Furniture,Bookcases,70.54526666666666,WoodCraft Furnishings
94,FUR-BO-10000676,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,119.74183333333333,WoodCraft Furnishings
95,FUR-BO-10000684,"Sauder Corner Shelving, Traditional",Furniture,Bookcases,137.2375,WoodCraft Furnishings
96,FUR-BO-10000699,"Sauder 3-Shelf Cabinet, Traditional",Furniture,Bookcases,148.45432,WoodCraft Furnishings
97,FUR-BO-10000700,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,165.016,WoodCraft Furnishings
98,FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,51.8354,WoodCraft Furnishings
99,FUR-BO-10000712,"Bush Corner Shelving, Pine",Furniture,Bookcases,69.1,WoodCraft Furnishings
100,FUR-BO-10000728,"Dania Corner Shelving, Traditional",Furniture,Bookcases,125.42188888888889,WoodCraft Furnishings
101,FUR-BO-10000734,"Bush Corner Shelving, Pine",Furniture,Bookcases,53.590857142857146,WoodCraft Furnishings
102,FUR-BO-10000746,"Ikea Corner Shelving, Mobile",Furniture,Bookcases,47.7276,WoodCraft Furnishings
103,FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,168.8542742857143,WoodCraft Furnishings
104,FUR-BO-10000786,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,94.8442380952381,WoodCraft Furnishings
105,FUR-BO-10000791,"Dania Library with Doors, Traditional",Furniture,Bookcases,212.58,WoodCraft Furnishings
106,FUR-BO-10000797,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,142.9201111111111,WoodCraft Furnishings
107,FUR-BO-10000807,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,124.19,WoodCraft Furnishings
108,FUR-BO-10000820,"Sauder 3-Shelf Cabinet, Metal",Furniture,Bookcases,107.97399999999999,WoodCraft Furnishings
109,FUR-BO-10000847,"Dania Stackable Bookrack, Mobile",Furniture,Bookcases,68.13106666666667,WoodCraft Furnishings
110,FUR-BO-10000883,"Dania Corner Shelving, Mobile",Furniture,Bookcases,123.10486428571429,WoodCraft Furnishings
111,FUR-BO-10000889,"Safco 3-Shelf Cabinet, Mobile",Furniture,Bookcases,145.864,WoodCraft Furnishings
112,FUR-BO-10000891,"Ikea Classic Bookcase, Pine",Furniture,Bookcases,214.72,WoodCraft Furnishings
113,FUR-BO-10000892,"Bush Corner Shelving, Mobile",Furniture,Bookcases,123.98,WoodCraft Furnishings
114,FUR-BO-10000895,"Sauder Corner Shelving, Metal",Furniture,Bookcases,101.87953333333334,WoodCraft Furnishings
115,FUR-BO-10000936,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,140.48008333333334,WoodCraft Furnishings
116,FUR-BO-10000961,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,79.95611428571428,WoodCraft Furnishings
117,FUR-BO-10000967,"Ikea Library with Doors, Pine",Furniture,Bookcases,244.31133333333332,WoodCraft Furnishings
118,FUR-BO-10000980,"Bush Library with Doors, Traditional",Furniture,Bookcases,233.04376000000002,WoodCraft Furnishings
119,FUR-BO-10001003,"Dania 3-Shelf Cabinet, Traditional",Furniture,Bookcases,73.57428571428571,WoodCraft Furnishings
120,FUR-BO-10001010,"Dania Corner Shelving, Mobile",Furniture,Bookcases,88.43185714285714,WoodCraft Furnishings
121,FUR-BO-10001039,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,234.30733333333333,WoodCraft Furnishings
122,FUR-BO-10001042,"Dania 3-Shelf Cabinet, Pine",Furniture,Bookcases,80.81952380952382,WoodCraft Furnishings
123,FUR-BO-10001067,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,56.67426666666667,WoodCraft Furnishings
124,FUR-BO-10001073,"Safco Classic Bookcase, Metal",Furniture,Bookcases,354.32785,WoodCraft Furnishings
125,FUR-BO-10001099,"Bush Corner Shelving, Traditional",Furniture,Bookcases,62.862,WoodCraft Furnishings
126,FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,281.86266666666666,WoodCraft Furnishings
127,FUR-BO-10001147,"Bush Floating Shelf Set, Metal",Furniture,Bookcases,126.42686587301587,WoodCraft Furnishings
128,FUR-BO-10001155,"Dania 3-Shelf Cabinet, Traditional",Furniture,Bookcases,128.3722962962963,WoodCraft Furnishings
129,FUR-BO-10001165,"Bush Library with Doors, Mobile",Furniture,Bookcases,249.324,WoodCraft Furnishings
130,FUR-BO-10001192,"Bush Library with Doors, Mobile",Furniture,Bookcases,209.0544,WoodCraft Furnishings
131,FUR-BO-10001196,"Bush Library with Doors, Pine",Furniture,Bookcases,277.81561666666664,WoodCraft Furnishings
132,FUR-BO-10001201,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,46.929857142857145,WoodCraft Furnishings
133,FUR-BO-10001212,"Safco Classic Bookcase, Mobile",Furniture,Bookcases,392.11243333333334,WoodCraft Furnishings
134,FUR-BO-10001216,"Sauder 3-Shelf Cabinet, Mobile",Furniture,Bookcases,101.53683333333333,WoodCraft Furnishings
135,FUR-BO-10001233,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,124.7,WoodCraft Furnishings
136,FUR-BO-10001254,"Dania 3-Shelf Cabinet, Mobile",Furniture,Bookcases,144.0,WoodCraft Furnishings
137,FUR-BO-10001255,"Ikea Library with Doors, Mobile",Furniture,Bookcases,314.7497777777778,WoodCraft Furnishings
138,FUR-BO-10001256,"Ikea Corner Shelving, Pine",Furniture,Bookcases,114.45716666666667,WoodCraft Furnishings
139,FUR-BO-10001271,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,154.58266666666665,WoodCraft Furnishings
140,FUR-BO-10001276,"Safco Floating Shelf Set, Mobile",Furniture,Bookcases,68.944,WoodCraft Furnishings
141,FUR-BO-10001287,"Dania Floating Shelf Set, Metal",Furniture,Bookcases,104.6893888888889,WoodCraft Furnishings
142,FUR-BO-10001295,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,70.83466666666668,WoodCraft Furnishings
143,FUR-BO-10001309,"Ikea Classic Bookcase, Traditional",Furniture,Bookcases,325.54,WoodCraft Furnishings
144,FUR-BO-10001318,"Safco Library with Doors, Mobile",Furniture,Bookcases,151.584,WoodCraft Furnishings
145,FUR-BO-10001324,"Sauder Floating Shelf Set, Pine",Furniture,Bookcases,150.78300000000002,WoodCraft Furnishings
146,FUR-BO-10001326,"Bush 3-Shelf Cabinet, Pine",Furniture,Bookcases,120.15,WoodCraft Furnishings
147,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,108.90646666666666,WoodCraft Furnishings
148,FUR-BO-10001342,"Safco Corner Shelving, Metal",Furniture,Bookcases,148.98433333333332,WoodCraft Furnishings
149,FUR-BO-10001356,"Ikea Library with Doors, Mobile",Furniture,Bookcases,195.17175,WoodCraft Furnishings
150,FUR-BO-10001358,"Bush 3-Shelf Cabinet, Traditional",Furniture,Bookcases,92.71133333333334,WoodCraft Furnishings
151,FUR-BO-10001362,"Ikea Classic Bookcase, Metal",Furniture,Bookcases,349.312,WoodCraft Furnishings
152,FUR-BO-10001369,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,74.414,WoodCraft Furnishings
153,FUR-BO-10001370,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,385.832,WoodCraft Furnishings
154,FUR-BO-10001385,"Sauder Corner Shelving, Metal",Furniture,Bookcases,82.20213333333334,WoodCraft Furnishings
155,FUR-BO-10001387,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,110.17688888888888,WoodCraft Furnishings
156,FUR-BO-10001390,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,66.32166666666667,WoodCraft Furnishings
157,FUR-BO-10001392,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,257.35900000000004,WoodCraft Furnishings
158,FUR-BO-10001393,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,151.48765333333333,WoodCraft Furnishings
159,FUR-BO-10001405,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,76.18186904761905,WoodCraft Furnishings
160,FUR-BO-10001436,"Bush Corner Shelving, Traditional",Furniture,Bookcases,97.889,WoodCraft Furnishings
161,FUR-BO-10001452,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,75.61,WoodCraft Furnishings
162,FUR-BO-10001461,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,98.42711666666666,WoodCraft Furnishings
163,FUR-BO-10001471,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,225.99,WoodCraft Furnishings
164,FUR-BO-10001476,"Safco Corner Shelving, Pine",Furniture,Bookcases,82.56320000000001,WoodCraft Furnishings
165,FUR-BO-10001483,"Bush Corner Shelving, Metal",Furniture,Bookcases,71.6270987654321,WoodCraft Furnishings
166,FUR-BO-10001498,"Dania Classic Bookcase, Pine",Furniture,Bookcases,173.12222222222223,WoodCraft Furnishings
167,FUR-BO-10001501,"Bush Classic Bookcase, Metal",Furniture,Bookcases,235.075,WoodCraft Furnishings
168,FUR-BO-10001507,"Ikea Library with Doors, Traditional",Furniture,Bookcases,213.44,WoodCraft Furnishings
169,FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,44.11908888888889,WoodCraft Furnishings
170,FUR-BO-10001524,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,56.524,WoodCraft Furnishings
171,FUR-BO-10001537,"Ikea Corner Shelving, Metal",Furniture,Bookcases,117.66555555555556,WoodCraft Furnishings
172,FUR-BO-10001541,"Bush Stackable Bookrack, Traditional",Furniture,Bookcases,113.23442666666668,WoodCraft Furnishings
173,FUR-BO-10001555,"Bush Corner Shelving, Metal",Furniture,Bookcases,106.21999999999998,WoodCraft Furnishings
174,FUR-BO-10001558,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,151.40133333333333,WoodCraft Furnishings
175,FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,93.95073333333335,WoodCraft Furnishings
176,FUR-BO-10001580,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,102.13276,WoodCraft Furnishings
177,FUR-BO-10001585,"Ikea Floating Shelf Set, Traditional",Furniture,Bookcases,86.48955555555557,WoodCraft Furnishings
178,FUR-BO-10001596,"Dania Library with Doors, Mobile",Furniture,Bookcases,199.52044444444445,WoodCraft Furnishings
179,FUR-BO-10001598,"Bush Corner Shelving, Pine",Furniture,Bookcases,68.89216952380953,WoodCraft Furnishings
180,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,106.10520000000001,WoodCraft Furnishings
181,FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,Bookcases,53.240786666666665,WoodCraft Furnishings
182,FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,66.3024,WoodCraft Furnishings
183,FUR-BO-10001621,"Dania Stackable Bookrack, Traditional",Furniture,Bookcases,70.17083333333333,WoodCraft Furnishings
184,FUR-BO-10001641,"Bush 3-Shelf Cabinet, Traditional",Furniture,Bookcases,93.02718,WoodCraft Furnishings
185,FUR-BO-10001646,"Safco Library with Doors, Pine",Furniture,Bookcases,112.63517948717949,WoodCraft Furnishings
186,FUR-BO-10001668,"Ikea Floating Shelf Set, Pine",Furniture,Bookcases,164.82554444444443,WoodCraft Furnishings
187,FUR-BO-10001679,"Ikea 3-Shelf Cabinet, Traditional",Furniture,Bookcases,82.53956666666667,WoodCraft Furnishings
188,FUR-BO-10001699,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,69.444,WoodCraft Furnishings
189,FUR-BO-10001708,"Safco Stackable Bookrack, Pine",Furniture,Bookcases,121.228231292517,WoodCraft Furnishings
190,FUR-BO-10001714,"Dania Floating Shelf Set, Mobile",Furniture,Bookcases,125.51433333333333,WoodCraft Furnishings
191,FUR-BO-10001721,"Bush Corner Shelving, Mobile",Furniture,Bookcases,47.184,WoodCraft Furnishings
192,FUR-BO-10001739,"Dania Classic Bookcase, Mobile",Furniture,Bookcases,226.11366666666666,WoodCraft Furnishings
193,FUR-BO-10001746,"Dania 3-Shelf Cabinet, Pine",Furniture,Bookcases,94.08,WoodCraft Furnishings
194,FUR-BO-10001749,"Bush Classic Bookcase, Traditional",Furniture,Bookcases,387.8113333333333,WoodCraft Furnishings
195,FUR-BO-10001753,"Dania Stackable Bookrack, Traditional",Furniture,Bookcases,67.83805555555556,WoodCraft Furnishings
196,FUR-BO-10001779,"Safco Stackable Bookrack, Pine",Furniture,Bookcases,59.04414965986395,WoodCraft Furnishings
197,FUR-BO-10001781,"Bush Library with Doors, Traditional",Furniture,Bookcases,179.82122222222222,WoodCraft Furnishings
198,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,110.01811666666667,WoodCraft Furnishings
199,FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,210.81370666666666,WoodCraft Furnishings
200,FUR-BO-10001822,"Dania Library with Doors, Metal",Furniture,Bookcases,351.01300000000003,WoodCraft Furnishings
201,FUR-BO-10001831,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,147.45766666666665,WoodCraft Furnishings
202,FUR-BO-10001834,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,110.099,WoodCraft Furnishings
203,FUR-BO-10001835,"Safco Library with Doors, Traditional",Furniture,Bookcases,288.65999999999997,WoodCraft Furnishings
204,FUR-BO-10001860,"Sauder Corner Shelving, Traditional",Furniture,Bookcases,94.39182857142858,WoodCraft Furnishings
205,FUR-BO-10001867,"Dania Corner Shelving, Mobile",Furniture,Bookcases,60.62019047619047,WoodCraft Furnishings
206,FUR-BO-10001872,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,79.83733333333333,WoodCraft Furnishings
207,FUR-BO-10001873,"Ikea Floating Shelf Set, Mobile",Furniture,Bookcases,164.19433333333333,WoodCraft Furnishings
208,FUR-BO-10001874,"Sauder Corner Shelving, Pine",Furniture,Bookcases,121.86947619047619,WoodCraft Furnishings
209,FUR-BO-10001875,"Bush Library with Doors, Mobile",Furniture,Bookcases,209.26,WoodCraft Furnishings
210,FUR-BO-10001876,"Safco Corner Shelving, Pine",Furniture,Bookcases,99.47766666666666,WoodCraft Furnishings
211,FUR-BO-10001888,"Dania Floating Shelf Set, Pine",Furniture,Bookcases,112.71666666666665,WoodCraft Furnishings
212,FUR-BO-10001892,"Sauder Library with Doors, Pine",Furniture,Bookcases,357.8016666666666,WoodCraft Furnishings
213,FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,143.4032,WoodCraft Furnishings
214,FUR-BO-10001934,"Bush Library with Doors, Metal",Furniture,Bookcases,334.57445714285717,WoodCraft Furnishings
215,FUR-BO-10001943,"Safco Library with Doors, Traditional",Furniture,Bookcases,378.309,WoodCraft Furnishings
216,FUR-BO-10001946,"Sauder 3-Shelf Cabinet, Metal",Furniture,Bookcases,109.7205,WoodCraft Furnishings
217,FUR-BO-10001966,"Ikea Corner Shelving, Metal",Furniture,Bookcases,75.11977777777777,WoodCraft Furnishings
218,FUR-BO-10001967,"Safco Corner Shelving, Mobile",Furniture,Bookcases,135.20955555555557,WoodCraft Furnishings
219,FUR-BO-10001969,"Sauder 3-Shelf Cabinet, Pine",Furniture,Bookcases,110.88499999999999,WoodCraft Furnishings
220,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,100.4212888888889,WoodCraft Furnishings
221,FUR-BO-10002000,"Ikea Classic Bookcase, Metal",Furniture,Bookcases,349.2885666666666,WoodCraft Furnishings
222,FUR-BO-10002003,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,370.1358333333333,WoodCraft Furnishings
223,FUR-BO-10002008,"Bush Stackable Bookrack, Traditional",Furniture,Bookcases,68.14266666666667,WoodCraft Furnishings
224,FUR-BO-10002031,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,341.09077777777776,WoodCraft Furnishings
225,FUR-BO-10002032,"Ikea Stackable Bookrack, Pine",Furniture,Bookcases,94.19283333333333,WoodCraft Furnishings
226,FUR-BO-10002042,"Bush Classic Bookcase, Metal",Furniture,Bookcases,219.916,WoodCraft Furnishings
227,FUR-BO-10002084,"Dania Library with Doors, Metal",Furniture,Bookcases,176.0876,WoodCraft Furnishings
228,FUR-BO-10002109,"Safco Stackable Bookrack, Pine",Furniture,Bookcases,73.72888888888889,WoodCraft Furnishings
